ID	DOCULECT	CONCEPT	GLOSS_ID	VALUE	FORM	TOKENS
5754	鹿寨四排	尾巴*	050	hɯːŋ⁵⁴ʔ	hɯːŋ⁵⁴ʔ	h ɯː ŋ ⁵⁴ʔ/⁵⁴
5755	鹿寨鹿寨	尾巴*	050	jɤːŋ⁵⁴ʔ	jɤːŋ⁵⁴ʔ	j ɤː ŋ ⁵⁴ʔ/⁵⁴
3002	大化岩滩	尿	295	ȵou³¹	ȵou³¹	ȵ ou ³¹
3003	大化流水	尿	295	ȵu²⁴	ȵu²⁴	ȵ u ²⁴
3004	都安高岭	尿	295	ȵou³¹	ȵou³¹	ȵ ou ³¹
3005	都安百旺	尿	295	ȵu³¹	ȵu³¹	ȵ u ³¹
3006	上林塘红	尿	295	ȵɔu³¹	ȵɔu³¹	ȵ ɔu ³¹
3007	上林明亮	尿	295	ȵou⁴¹	ȵou⁴¹	ȵ ou ⁴¹
3008	马山永州	尿	295	ȵou³¹	ȵou³¹	ȵ ou ³¹
3009	马山白山	尿	295	ȵɔu²¹	ȵɔu²¹	ȵ ɔu ²¹
3010	忻城北更	尿	295	ȵou⁴²	ȵou⁴²	ȵ ou ⁴²
3011	忻城果邃	尿	295	ȵou⁴⁵³	ȵou⁴⁵³	ȵ ou ⁴⁵³
8314	兴宾迁江	尿	295	ȵou⁴²	ȵou⁴²	ȵ ou ⁴²
8315	兴宾寺山	尿	295	ȵou³¹	ȵou³¹	ȵ ou ³¹
8316	桂平石龙	尿	295	ȵou⁴³	ȵou⁴³	ȵ ou ⁴³
8317	港北中里	尿	295	ȵou³²	ȵou³²	ȵ ou ³²
8318	武宣黄茆	尿	295	ȵɔu³¹	ȵɔu³¹	ȵ ɔu ³¹
8319	武宣桐岭	尿	295	ȵɔu³¹	ȵɔu³¹	ȵ ɔu ³¹
8320	象州大乐	尿	295	ȵʌu²¹ʔ²	ȵʌu²¹ʔ²	ȵ ʌu ²¹ʔ²/²¹²
8321	象州运江	尿	295	ȵou²¹ʔ³	ȵou²¹ʔ³	ȵ ou ²¹ʔ³/²¹³
8322	鹿寨四排	尿	295	ȵou³²ʔ³	ȵou³²ʔ³	ȵ ou ³²ʔ³/³²³
8323	鹿寨鹿寨	尿	295	ɲu³¹ʔ	ɲu³¹ʔ	ɲ u ³¹ʔ/³¹
2932	大化岩滩	屁股	288	kɔm⁴⁴	kɔm⁴⁴	k ɔ m ⁴⁴
2933	大化流水	屁股	288	ɕak²³ kʊm⁴⁴	ɕak²³+kʊm⁴⁴	ɕ a k ²³ + k ʊ m ⁴⁴
2934	都安高岭	屁股	288	kɔm⁴³³	kɔm⁴³³	k ɔ m ⁴³³
2935	都安百旺	屁股	288	sɐk⁵⁵ hɐi²¹⁴	sɐk⁵⁵+hɐi²¹⁴	s ɐ k ⁵⁵ + h ɐi ²¹⁴
2936	上林塘红	屁股	288	ɕak⁵⁵ hai⁴²ʔ¹³	ɕak⁵⁵+hai⁴²ʔ¹³	ɕ a k ⁵⁵ + h ai ⁴²ʔ¹³/⁴²³
2937	上林明亮	屁股	288	sɐk⁵⁵ hɛ̈i³¹	sɐk⁵⁵+hɛ̈i³¹	s ɐ k ⁵⁵ + h ɛ̈i/ɛi ³¹
2938	马山永州	屁股	288	kom⁴⁵	kom⁴⁵	k o m ⁴⁵
2939	马山白山	屁股	288	ɕɐk²² hɜi²³	ɕɐk²²+hɜi²³	ɕ ɐ k ²² + h ɜi ²³
2940	忻城北更	屁股	288	ɕak⁵⁵ hai³¹ʔ¹³	ɕak⁵⁵+hai³¹ʔ¹³	ɕ a k ⁵⁵ + h ai ³¹ʔ¹³/³¹³
2941	忻城果邃	屁股	288	ɕak⁵⁵ hɜi²¹⁴	ɕak⁵⁵+hɜi²¹⁴	ɕ a k ⁵⁵ + h ɜi ²¹⁴
8243	兴宾迁江	屁股	288	ɕak⁵⁵ hɐi²¹	ɕak⁵⁵+hɐi²¹	ɕ a k ⁵⁵ + h ɐi ²¹
8244	兴宾寺山	屁股	288	ɕɐk²² ʔɜi⁵³⁴	ɕɐk²²+ʔɜi⁵³⁴	ɕ ɐ k ²² + ʔ ɜi ⁵³⁴
8245	桂平石龙	屁股	288	tɕak²² hɐi⁴³, tɕak²² kɜm⁴⁵	tɕak²²+hɐi⁴³	tɕ a k ²² + h ɐi ⁴³
8246	桂平石龙	屁股	288	tɕak²² hɐi⁴³, tɕak²² kɜm⁴⁵	+tɕak²²+kɜm⁴⁵	tɕ a k ²² + k ɜ m ⁴⁵
8247	港北中里	屁股	288	tɕak²² kʊm⁵⁵	tɕak²²+kʊm⁵⁵	tɕ a k ²² + k ʊ m ⁵⁵
8248	武宣黄茆	屁股	288	tɕak⁵⁵ kʌm⁴⁵	tɕak⁵⁵+kʌm⁴⁵	tɕ a k ⁵⁵ + k ʌ m ⁴⁵
8249	武宣桐岭	屁股	288	kɜm⁵⁵	kɜm⁵⁵	k ɜ m ⁵⁵
8250	象州大乐	屁股	288	tu²² kɜm⁴⁵	tu²²+kɜm⁴⁵	t u ²² + k ɜ m ⁴⁵
8251	象州运江	屁股	288	tsak²² kɜm⁴⁵	tsak²²+kɜm⁴⁵	ts a k ²² + k ɜ m ⁴⁵
8252	鹿寨四排	屁股	288	kɜm⁴⁵	kɜm⁴⁵	k ɜ m ⁴⁵
8253	鹿寨鹿寨	屁股	288	tsɐk⁵⁵ kʊm⁴⁵	tsɐk⁵⁵+kʊm⁴⁵	ts ɐ k ⁵⁵ + k ʊ m ⁴⁵
3363	大化岩滩	屋顶	331	nɪŋ⁴² ɹaːn²³¹	nɪŋ⁴²+ɹaːn²³¹	n ɪ ŋ ⁴² + ɹ aː n ²³¹
3364	大化流水	屋顶	331	ʔdən⁴² ɹaːn²³¹	ʔdən⁴²+ɹaːn²³¹	ˀd ə n ⁴² + ɹ aː n ²³¹
3365	都安高岭	屋顶	331	ʔdən⁵³ ðaːn²³¹	ʔdən⁵³+ðaːn²³¹	ˀd ə n ⁵³ + ð aː n ²³¹
3366	都安百旺	屋顶	331	pjaːi⁵³ ðaːn²³¹	pjaːi⁵³+ðaːn²³¹	p j aːi ⁵³ + ð aː n ²³¹
3367	上林塘红	屋顶	331	ʔdən⁴⁵³ ɣaːn²¹	ʔdən⁴⁵³+ɣaːn²¹	ˀd ə n ⁴⁵³ + ɣ aː n ²¹
3368	上林明亮	屋顶	331	tɪŋ³³ ðaːn²⁴	tɪŋ³³+ðaːn²⁴	t ɪ ŋ ³³ + ð aː n ²⁴
3369	马山永州	屋顶	331	teŋ³³ ɹaːn²¹	teŋ³³+ɹaːn²¹	t e ŋ ³³ + ɹ aː n ²¹
3370	马山白山	屋顶	331	tɪŋ⁴⁴ ɹaːn³¹	tɪŋ⁴⁴+ɹaːn³¹	t ɪ ŋ ⁴⁴ + ɹ aː n ³¹
3371	忻城北更	屋顶	331	pjaːi⁴⁵ ɣaːn³²	pjaːi⁴⁵+ɣaːn³²	p j aːi ⁴⁵ + ɣ aː n ³²
3372	忻城果邃	屋顶	331	ʔdən⁴⁵³ ðaːn²¹	ʔdən⁴⁵³+ðaːn²¹	ˀd ə n ⁴⁵³ + ð aː n ²¹
8674	兴宾迁江	屋顶	331	tɪŋ²¹ jaːŋ²³²	tɪŋ²¹+jaːŋ²³²	t ɪ ŋ ²¹ + j aː ŋ ²³²
8675	兴宾寺山	屋顶	331	tɪŋ³³ ɣaːn²⁴	tɪŋ³³+ɣaːn²⁴	t ɪ ŋ ³³ + ɣ aː n ²⁴
8676	桂平石龙	屋顶	331	tɪŋ³³ laːn²¹³	tɪŋ³³+laːn²¹³	t ɪ ŋ ³³ + l aː n ²¹³
8677	港北中里	屋顶	331	laːn²¹ tiŋ³⁴	laːn²¹+tiŋ³⁴	l aː n ²¹ + t i ŋ ³⁴
8678	武宣黄茆	屋顶	331	neŋ²³ ɣaːn²³¹	neŋ²³+ɣaːn²³¹	n e ŋ ²³ + ɣ aː n ²³¹
8679	武宣桐岭	屋顶	331	ɣaːn²¹³ tɪŋ³³	ɣaːn²¹³+tɪŋ³³	ɣ aː n ²¹³ + t ɪ ŋ ³³
8680	象州大乐	屋顶	331	nɛŋ²² ɣɛː̙ n²³¹	nɛŋ²²+ɣɛːn²³¹	n ɛ ŋ ²² + ɣ ɛː n ²³¹
8681	象州运江	屋顶	331	kɜn²³¹ ʝaːn²³¹	kɜn²³¹+ʝaːn²³¹	k ɜ n ²³¹ + ʝ aː n ²³¹
8682	鹿寨四排	屋顶	331	neŋ²³¹ jaːn²³¹	neŋ²³¹+jaːn²³¹	n e ŋ ²³¹ + j aː n ²³¹
8683	鹿寨鹿寨	屋顶	331	jaːn²³¹ tɪŋ⁵³	jaːn²³¹+tɪŋ⁵³	j aː n ²³¹ + t ɪ ŋ ⁵³
2992	大化岩滩	屎 (牛屎)	294	hɜi²⁴	hɜi²⁴	h ɜi ²⁴
2993	大化流水	屎 (牛屎)	294	hɜi²⁴	hɜi²⁴	h ɜi ²⁴
2994	都安高岭	屎 (牛屎)	294	hɜi²¹⁴	hɜi²¹⁴	h ɜi ²¹⁴
2995	都安百旺	屎 (牛屎)	294	hɐi²¹⁴	hɐi²¹⁴	h ɐi ²¹⁴
2996	上林塘红	屎 (牛屎)	294	hai⁴²ʔ¹³	hai⁴²ʔ¹³	h ai ⁴²ʔ¹³/⁴²³
2997	上林明亮	屎 (牛屎)	294	hɛï ³¹	hɛï³¹	h ɛï ³¹
2998	马山永州	屎 (牛屎)	294	hɛï ³³	hɛï³³	h ɛï ³³
2999	马山白山	屎 (牛屎)	294	hɜi²³	hɜi²³	h ɜi ²³
3000	忻城北更	屎 (牛屎)	294	hai³¹ʔ¹³	hai³¹ʔ¹³	h ai ³¹ʔ¹³/³¹³
3001	忻城果邃	屎 (牛屎)	294	hɜi²¹⁴	hɜi²¹⁴	h ɜi ²¹⁴
8304	兴宾迁江	屎(牛屎)	294	hɐi²¹	hɐi²¹	h ɐi ²¹
8305	兴宾寺山	屎(牛屎)	294	hɜi⁵³⁴	hɜi⁵³⁴	h ɜi ⁵³⁴
8306	桂平石龙	屎(牛屎)	294	hɐi⁴³	hɐi⁴³	h ɐi ⁴³
8307	港北中里	屎(牛屎)	294	hɜi³²	hɜi³²	h ɜi ³²
8308	武宣黄茆	屎(牛屎)	294	hɐi²¹⁴	hɐi²¹⁴	h ɐi ²¹⁴
8309	武宣桐岭	屎(牛屎)	294	hɐi³¹	hɐi³¹	h ɐi ³¹
8310	象州大乐	屎(牛屎)	294	haːi²¹⁴	haːi²¹⁴	h aːi ²¹⁴
8311	象州运江	屎(牛屎)	294	haːi²¹⁴	haːi²¹⁴	h aːi ²¹⁴
8312	鹿寨四排	屎(牛屎)	294	haːi²¹⁴	haːi²¹⁴	h aːi ²¹⁴
8313	鹿寨鹿寨	屎(牛屎)	294	haːi²¹⁴	haːi²¹⁴	h aːi ²¹⁴
2327	大化岩滩	山洞	228	kaːm⁴⁵³	kaːm⁴⁵³	k aː m ⁴⁵³
2328	大化流水	山洞	228	kaːm⁵⁵³	kaːm⁵⁵³	k aː m ⁵⁵³
2329	都安高岭	山洞	228	kaːm³⁴¹	kaːm³⁴¹	k aː m ³⁴¹
2330	都安百旺	山洞	228	kaːm⁴⁵⁴	kaːm⁴⁵⁴	k aː m ⁴⁵⁴
2331	上林塘红	山洞	228	kaːm³⁴³	kaːm³⁴³	k aː m ³⁴³
2332	上林明亮	山洞	228	kaːm³³	kaːm³³	k aː m ³³
2333	马山永州	山洞	228	kaːm³³	kaːm³³	k aː m ³³
2334	马山白山	山洞	228	kaːm⁴⁵	kaːm⁴⁵	k aː m ⁴⁵
2335	忻城北更	山洞	228	kaːm³⁴³	kaːm³⁴³	k aː m ³⁴³
2336	忻城果邃	山洞	228	kaːm³⁴³	kaːm³⁴³	k aː m ³⁴³
7620	兴宾迁江	山洞	228	kaːm³³	kaːm³³	k aː m ³³
7621	兴宾寺山	山洞	228	kɐːm³³	kɐːm³³	k ɐː m ³³
7622	桂平石龙	山洞	228	tɕoɐŋ⁴³	tɕoɐŋ⁴³	tɕ oɐ ŋ ⁴³
7623	港北中里	山洞	228	kaːm³⁴	kaːm³⁴	k aː m ³⁴
7624	武宣黄茆	山洞	228	kaːm⁴⁵³	kaːm⁴⁵³	k aː m ⁴⁵³
7625	武宣桐岭	山洞	228	kaːm³³	kaːm³³	k aː m ³³
7626	象州大乐	山洞	228	kaːm⁵³,tɕɔːŋ²¹ʔ²	kaːm⁵³	k aː m ⁵³
7627	象州大乐	山洞	228	kaːm⁵³,tɕɔːŋ²¹ʔ²	tɕɔːŋ²¹ʔ²	tɕ ɔː ŋ ²¹ʔ²/²¹²
7628	象州运江	山洞	228	kaːm⁵³,tsɔːŋ²¹ʔ³	kaːm⁵³	k aː m ⁵³
7629	象州运江	山洞	228	kaːm⁵³,tsɔːŋ²¹ʔ³	tsɔːŋ²¹ʔ³	ts ɔː ŋ ²¹ʔ³/²¹³
7630	鹿寨四排	山洞	228	kaːm⁵³, tsoːŋ³²ʔ³	kaːm⁵³	k aː m ⁵³
7631	鹿寨四排	山洞	228	kaːm⁵³, tsoːŋ³²ʔ³	+tsoːŋ³²ʔ³	ts oː ŋ ³²ʔ³/³²³
7632	鹿寨鹿寨	山洞	228	kaːm⁵³,tsɔːŋ³¹ʔ	kaːm⁵³	k aː m ⁵³
7633	鹿寨鹿寨	山洞	228	kaːm⁵³,tsɔːŋ³¹ʔ	tsɔːŋ³¹ʔ	ts ɔː ŋ ³¹ʔ/³¹
6709	兴宾迁江	左 (边)*	143	su̪ ei²¹	suei²¹	s u/w ei ²¹
6710	兴宾寺山	左 (边)*	143	sɤ⁵³⁴	sɤ⁵³⁴	s ɤ ⁵³⁴
6711	桂平石龙	左 (边)*	143	soːi²¹	soːi²¹	s oːi ²¹
6712	港北中里	左 (边)*	143	suːi³²³	suːi³²³	s uːi ³²³
6713	武宣黄茆	左 (边)*	143	su̪ ːi²¹⁴	suːi²¹⁴	s uːi ²¹⁴
6714	武宣桐岭	左 (边)*	143	su̪ ːi³¹	suːi³¹	s uːi ³¹
6715	象州大乐	左 (边)*	143	sɯ̪  ːi²¹⁴	sɯːi²¹⁴	s ɯːi ²¹⁴
6716	象州运江	左 (边)*	143	θi²¹⁴	θi²¹⁴	θ i ²¹⁴
6717	鹿寨四排	左 (边)*	143	sɯːi²¹⁴	sɯːi²¹⁴	s ɯːi ²¹⁴
6718	鹿寨鹿寨	左 (边)*	143	θɤːi²¹⁴	θɤːi²¹⁴	θ ɤːi ²¹⁴
1434	大化岩滩	左(边)*	143	θɯːi²⁴	θɯːi²⁴	θ ɯːi ²⁴
1435	大化流水	左(边)*	143	θɯei³⁴⁴	θɯei³⁴⁴	θ ɯ/w ei ³⁴⁴
1436	都安高岭	左(边)*	143	θuːi²¹⁴	θuːi²¹⁴	θ uːi ²¹⁴
1437	都安百旺	左(边)*	143	θɯei²¹⁴	θɯei²¹⁴	θ ɯ/w ei ²¹⁴
1438	上林塘红	左(边)*	143	pai³¹θɯəi⁴²ʔ¹³	pai³¹θɯəi⁴²ʔ¹³	p ai ³¹ θ ɯ/w əi ⁴²ʔ¹³/⁴²³
1439	上林明亮	左(边)*	143	ɬoːi³¹	ɬoːi³¹	ɬ oːi ³¹
1440	马山永州	左(边)*	143	θuəi³³	θuəi³³	θ u/w əi ³³
1441	马山白山	左(边)*	143	θuːi²³	θuːi²³	θ uːi ²³
1442	忻城北更	左(边)*	143	ɬɯəi³¹ʔ¹³	ɬɯəi³¹ʔ¹³	ɬ ɯ/w əi ³¹ʔ¹³/³¹³
1443	忻城果邃	左(边)*	143	θɯːi²¹⁴	θɯːi²¹⁴	θ ɯːi ²¹⁴
3423	大化岩滩	布	337	pɐŋ²³¹	pɐŋ²³¹	p ɐ ŋ ²³¹
3424	大化流水	布	337	paŋ²³¹	paŋ²³¹	p a ŋ ²³¹
3425	都安高岭	布	337	pɐŋ²³¹	pɐŋ²³¹	p ɐ ŋ ²³¹
3426	都安百旺	布	337	pɐŋ²³¹	pɐŋ²³¹	p ɐ ŋ ²³¹
3427	上林塘红	布	337	paŋ²¹	paŋ²¹	p a ŋ ²¹
3428	上林明亮	布	337	paŋ²⁴	paŋ²⁴	p a ŋ ²⁴
3429	马山永州	布	337	pɐŋ²¹	pɐŋ²¹	p ɐ ŋ ²¹
3430	马山白山	布	337	pɐŋ³¹	pɐŋ³¹	p ɐ ŋ ³¹
3431	忻城北更	布	337	paŋ³²	paŋ³²	p a ŋ ³²
3432	忻城果邃	布	337	pɐŋ²¹	pɐŋ²¹	p ɐ ŋ ²¹
8734	兴宾迁江	布	337	paːŋ²³²	paːŋ²³²	p aː ŋ ²³²
8735	兴宾寺山	布	337	paːŋ²⁴	paːŋ²⁴	p aː ŋ ²⁴
8736	桂平石龙	布	337	paŋ²¹³	paŋ²¹³	p a ŋ ²¹³
8737	港北中里	布	337	paŋ²¹³	paŋ²¹³	p a ŋ ²¹³
8738	武宣黄茆	布	337	paŋ²³¹	paŋ²³¹	p a ŋ ²³¹
8739	武宣桐岭	布	337	pɐŋ²¹³	pɐŋ²¹³	p ɐ ŋ ²¹³
8740	象州大乐	布	337	paːŋ²³¹	paːŋ²³¹	p aː ŋ ²³¹
8741	象州运江	布	337	paːŋ²³¹	paːŋ²³¹	p aː ŋ ²³¹
8742	鹿寨四排	布	337	pɐŋ²³¹	pɐŋ²³¹	p ɐ ŋ ²³¹
8743	鹿寨鹿寨	布	337	pɐŋ²³¹	pɐŋ²³¹	p ɐ ŋ ²³¹
3433	大化岩滩	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
3434	大化流水	帽子	338	maːu²⁴	maːu²⁴	m aːu ²⁴
3435	都安高岭	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
3436	都安百旺	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
3437	上林塘红	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
3438	上林明亮	帽子	338	maːu⁴¹	maːu⁴¹	m aːu ⁴¹
3439	马山永州	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
3440	马山白山	帽子	338	maːu²¹	maːu²¹	m aːu ²¹
3441	忻城北更	帽子	338	maːu⁴²	maːu⁴²	m aːu ⁴²
3442	忻城果邃	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
8744	兴宾迁江	帽子	338	maːu⁴²	maːu⁴²	m aːu ⁴²
8745	兴宾寺山	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
8746	桂平石龙	帽子	338	maːu⁴³	maːu⁴³	m aːu ⁴³
8747	港北中里	帽子	338	maːu³²	maːu³²	m aːu ³²
8748	武宣黄茆	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
8749	武宣桐岭	帽子	338	maːu³¹	maːu³¹	m aːu ³¹
8750	象州大乐	帽子	338	maːu²¹ʔ²	maːu²¹ʔ²	m aːu ²¹ʔ²/²¹²
8751	象州运江	帽子	338	maːu²¹ʔ³	maːu²¹ʔ³	m aːu ²¹ʔ³/²¹³
8752	鹿寨四排	帽子	338	maːu³²ʔ³	maːu³²ʔ³	m aːu ³²ʔ³/³²³
8753	鹿寨鹿寨	帽子	338	maːu³¹ʔ	maːu³¹ʔ	m aːu ³¹ʔ/³¹
6659	兴宾迁江	干 (衣服)*	138	jaːu³³	jaːu³³	j aːu ³³
6660	兴宾寺山	干 (衣服)*	138	ɣaːu³³	ɣaːu³³	ɣ aːu ³³
6661	桂平石龙	干 (衣服)*	138	lo²¹³	lo²¹³	l o ²¹³
6662	港北中里	干 (衣服)*	138	lɔ²¹³	lɔ²¹³	l ɔ ²¹³
6663	武宣黄茆	干 (衣服)*	138	ɣaːu⁴⁵³	ɣaːu⁴⁵³	ɣ aːu ⁴⁵³
6664	武宣桐岭	干 (衣服)*	138	ɣaːu³³	ɣaːu³³	ɣ aːu ³³
6665	象州大乐	干 (衣服)*	138	hɛː̙ u⁵³	hɛːu⁵³	h ɛːu ⁵³
6666	象州运江	干 (衣服)*	138	ʝaːu⁵³	ʝaːu⁵³	ʝ aːu ⁵³
6667	鹿寨四排	干 (衣服)*	138	jaːu⁵³	jaːu⁵³	j aːu ⁵³
6668	鹿寨鹿寨	干 (衣服)*	138	jaːu⁵³	jaːu⁵³	j aːu ⁵³
1383	大化岩滩	干(衣服)*	138	ɹɔ⁴²	ɹɔ⁴²	ɹ ɔ ⁴²
1384	大化流水	干(衣服)*	138	ɹɔ⁴²	ɹɔ⁴²	ɹ ɔ ⁴²
1385	都安高岭	干(衣服)*	138	ðɔ⁵³	ðɔ⁵³	ð ɔ ⁵³
1386	都安百旺	干(衣服)*	138	θaːu⁴⁵⁴	θaːu⁴⁵⁴	θ aːu ⁴⁵⁴
1387	上林塘红	干(衣服)*	138	həɯ³³	həɯ³³	h əɯ ³³
1388	上林明亮	干(衣服)*	138	həɯ⁴⁵³	həɯ⁴⁵³	h əɯ ⁴⁵³
1389	马山永州	干(衣服)*	138	hɤi⁴⁵	hɤi⁴⁵	h ɤi ⁴⁵
1390	马山白山	干(衣服)*	138	ɹɔ²⁴	ɹɔ²⁴	ɹ ɔ ²⁴
1391	忻城北更	干(衣服)*	138	ɣaːu³⁴³	ɣaːu³⁴³	ɣ aːu ³⁴³
1392	忻城果邃	干(衣服)*	138	ðaːu³⁴³	ðaːu³⁴³	ð aːu ³⁴³
4169	大化岩滩	干净	410	θɛːu⁴⁴	θɛːu⁴⁴	θ ɛːu ⁴⁴
4170	大化流水	干净	410	θɛːu⁴⁴	θɛːu⁴⁴	θ ɛːu ⁴⁴
4171	都安高岭	干净	410	ɕɪŋ³¹	ɕɪŋ³¹	ɕ ɪ ŋ ³¹
4172	都安百旺	干净	410	θɛːu³³	θɛːu³³	θ ɛːu ³³
4173	上林塘红	干净	410	θɛːu³³	θɛːu³³	θ ɛːu ³³
4174	上林明亮	干净	410	ɬeːu⁴⁵³	ɬeːu⁴⁵³	ɬ eːu ⁴⁵³
4175	马山永州	干净	410	θiŋ³³ θiən²¹⁴	θiŋ³³+θiən²¹⁴	θ i ŋ ³³ + θ i/j ə n ²¹⁴
4176	马山白山	干净	410	θɛːu⁴⁴	θɛːu⁴⁴	θ ɛːu ⁴⁴
4177	忻城北更	干净	410	ɬeau⁴⁴	ɬeau⁴⁴	ɬ eau/eu ⁴⁴
4178	忻城果邃	干净	410	θeɜu³³	θeɜu³³	θ eɜu/eu ³³
9461	兴宾迁江	干净	410	sɛ̪ ɜu⁵⁵³	sɛɜu⁵⁵³	s ɛɜu/ɛu ⁵⁵³
9462	兴宾寺山	干净	410	seɜu⁵⁵	seɜu⁵⁵	s eɜu/eu ⁵⁵
9463	桂平石龙	干净	410	seou⁴⁵	seou⁴⁵	s eou/eu ⁴⁵
9464	港北中里	干净	410	seɜu⁵⁵	seɜu⁵⁵	s eɜu/eu ⁵⁵
9465	武宣黄茆	干净	410	se̪ ːu⁴⁵	seːu⁴⁵	s eːu ⁴⁵
9466	武宣桐岭	干净	410	se̪ ɜu⁵⁵	seɜu⁵⁵	s eɜu/eu ⁵⁵
9467	象州大乐	干净	410	sɛ̪ ːu⁴⁵	sɛːu⁴⁵	s ɛːu ⁴⁵
9468	象州运江	干净	410	θeːu⁴⁵	θeːu⁴⁵	θ eːu ⁴⁵
9469	鹿寨四排	干净	410	seːu⁴⁵	seːu⁴⁵	s eːu ⁴⁵
9470	鹿寨鹿寨	干净	410	θɛ⁴⁵	θɛ⁴⁵	θ ɛ ⁴⁵
4707	大化岩滩	干活	461	hɔəŋ⁴²	hɔəŋ⁴²	h ɔə ŋ ⁴²
4708	大化流水	干活	461	ku²⁴ hɔɜŋ⁴²	ku²⁴+hɔɜŋ⁴²	k u ²⁴ + h ɔɜ ŋ ⁴²
4709	都安高岭	干活	461	ku²³ hoɐŋ⁵³	ku²³+hoɐŋ⁵³	k u ²³ + h oɐ ŋ ⁵³
4710	都安百旺	干活	461	ku²¹³ hɔɜŋ⁵³	ku²¹³+hɔɜŋ⁵³	k u ²¹³ + h ɔɜ ŋ ⁵³
4711	上林塘红	干活	461	ku²² hoɜŋ⁴⁵³	ku²²+hoɜŋ⁴⁵³	k u ²² + h oɜ ŋ ⁴⁵³
4712	上林明亮	干活	461	ku²² hoɜŋ³⁵	ku²²+hoɜŋ³⁵	k u ²² + h oɜ ŋ ³⁵
4713	马山永州	干活	461	ku³¹ hoːŋ²¹⁴	ku³¹+hoːŋ²¹⁴	k u ³¹ + h oː ŋ ²¹⁴
4714	马山白山	干活	461	ku²¹ hɔːŋ²⁴	ku²¹+hɔːŋ²⁴	k u ²¹ + h ɔː ŋ ²⁴
4715	忻城北更	干活	461	ku²² hoɜŋ⁴⁵³	ku²²+hoɜŋ⁴⁵³	k u ²² + h oɜ ŋ ⁴⁵³
4716	忻城果邃	干活	461	ku²² hoɐŋ⁴⁵³	ku²²+hoɐŋ⁴⁵³	k u ²² + h oɐ ŋ ⁴⁵³
9985	兴宾迁江	干活	461	ku²¹ hoɐŋ³⁵³	ku²¹+hoɐŋ³⁵³	k u ²¹ + h oɐ ŋ ³⁵³
9986	兴宾寺山	干活	461	ku²² hɔəŋ³⁵	ku²²+hɔəŋ³⁵	k u ²² + h ɔə ŋ ³⁵
9987	桂平石龙	干活	461	tɕoːi²¹ hoɐŋ²⁴	tɕoːi²¹+hoɐŋ²⁴	tɕ oːi ²¹ + h oɐ ŋ ²⁴
9988	港北中里	干活	461	ku²² wɐŋ²⁵	ku²²+wɐŋ²⁵	k u ²² + w ɐ ŋ ²⁵
9989	武宣黄茆	干活	461	ku³³ hɔːŋ⁵³	ku³³+hɔːŋ⁵³	k u ³³ + h ɔː ŋ ⁵³
9990	武宣桐岭	干活	461	ku³³ wˠɐŋ³⁵	ku³³+wˠɐŋ³⁵	k u ³³ + wˠ/w ɐ ŋ ³⁵
9991	象州大乐	干活	461	ku³³ hɔːŋ⁵⁴ʔ	ku³³+hɔːŋ⁵⁴ʔ	k u ³³ + h ɔː ŋ ⁵⁴ʔ/⁵⁴
9992	象州运江	干活	461	ku²² ʝɔːŋ⁵⁴ʔ	ku²²+ʝɔːŋ⁵⁴ʔ	k u ²² + ʝ ɔː ŋ ⁵⁴ʔ/⁵⁴
9993	鹿寨四排	干活	461	ku²² hoːŋ⁵⁴ʔ	ku²²+hoːŋ⁵⁴ʔ	k u ²² + h oː ŋ ⁵⁴ʔ/⁵⁴
9994	鹿寨鹿寨	干活	461	kɔ²³ hɔːŋ⁵⁴ʔ	kɔ²³+hɔːŋ⁵⁴ʔ	k ɔ ²³ + h ɔː ŋ ⁵⁴ʔ/⁵⁴
384	大化岩滩	年*	039	pei⁴²	pei⁴²	p ei ⁴²
385	大化流水	年*	039	pi⁴²	pi⁴²	p i ⁴²
386	都安高岭	年*	039	pëi⁵³	pëi⁵³	p ëi/ei ⁵³
387	都安百旺	年*	039	pi⁵³	pi⁵³	p i ⁵³
388	上林塘红	年*	039	pəi⁴⁵³	pəi⁴⁵³	p əi ⁴⁵³
389	上林明亮	年*	039	pi³⁵	pi³⁵	p i ³⁵
390	马山永州	年*	039	pi²¹⁴	pi²¹⁴	p i ²¹⁴
391	马山白山	年*	039	pi²⁴	pi²⁴	p i ²⁴
392	忻城北更	年*	039	pəi⁴⁵³	pəi⁴⁵³	p əi ⁴⁵³
393	忻城果邃	年*	039	pɘi⁴⁵³	pɘi⁴⁵³	p ɘi ⁴⁵³
5636	兴宾迁江	年*	039	pəi³⁵³	pəi³⁵³	p əi ³⁵³
5637	兴宾寺山	年*	039	pəi³⁵	pəi³⁵	p əi ³⁵
5638	桂平石龙	年*	039	pɜi²⁴	pɜi²⁴	p ɜi ²⁴
5639	港北中里	年*	039	pɘi²⁵	pɘi²⁵	p ɘi ²⁵
